scenario_index,shed
0,3667.1450818126577
1,3799.6913800296484
2,3336.011713859238
3,3667.145081812662
4,3726.998710067784
5,3501.050120621975
6,3393.8082692493804
7,3357.0533019554473
8,3690.503052732742
9,3532.6640438973923
10,3195.6500476888536
11,3299.5694829634917
12,3321.115599287522
13,3799.6913800296497
14,3398.111713859254
15,3667.145081812663
16,3799.6913800296475
17,3501.0501206219747
18,3338.329377726995
19,2905.9107138592512
20,3501.0501206219747
21,3726.998710067784
22,3726.998710067784
23,3406.532622026528
24,3113.155713859251
25,2955.1370283236347
26,3688.99871006779
27,3726.9987100677895
28,3690.503052732706
29,3667.1450818126596
30,3667.145081812663
31,3726.9987100677895
32,3667.145081812661
33,3393.8082692493804
34,3690.503052732706
35,3799.691380029416
36,3726.9987100677895
37,3325.4190438973924
38,3040.463043897386
39,3438.6732594802684
40,2718.4094844128617
41,3690.503052732706
42,3543.5923444321006
43,3667.1450818124313
44,2742.3803777267617
45,3002.4630438973923
46,3338.3293777269923
47,3543.5923444321006
48,3406.5326220265297
49,3799.6913800296484
50,3726.99871006779
51,3664.998710067784
52,3319.46532972526
53,3584.319380029648
54,3628.626491820022
55,3690.503052732705
56,3475.131052732712
57,2905.9107138590184
58,3411.022047688853
59,3690.5476321242577
60,3357.053301955445
61,3338.3293777269905
62,3726.9987100677895
63,3690.503052732705
64,3411.0220476888553
65,3690.503052732706
66,3667.1450818126636
67,3667.145081812663
68,3161.3293777269955
69,3543.592344432097
70,3357.0533019554437
71,3605.356713859251
72,3113.155713859251
73,3799.6913800296475
74,3667.1450818126586
75,3690.623157749756
76,2611.1727075237704
77,3040.4630438973923
78,3799.6913800296484
79,3325.4190438973924
80,3543.5923444321033
81,3799.691380029649
82,3726.9987100677895
83,3667.1450818126664
84,2905.9107138592485
85,3532.664043897387
86,3109.8048597617553
87,3726.9987100677895
88,3726.9987100677895
89,3395.9882577160774
90,3338.329377726995
91,3726.9987100677895
92,3129.1023444320954
93,3309.8066323076846
94,3726.9987100677904
95,3726.9987100677895
96,3726.9987100677868
97,3040.4630438973923
98,3393.8082692493786
99,3726.9987100677895
100,2943.9612805227516
101,3411.022047688854
102,3726.9987100677895
103,3279.2197702043222
104,3690.5265296811367
105,3040.463043897393
106,3667.1450818124304
107,3550.9424433860436
108,3501.0501206219747
109,3690.5697040730342
110,3279.2197702043236
111,3279.2197702043236
112,3511.626710067784
113,3393.8082692493776
114,3267.894302018288
115,3690.5030527327062
116,2725.166599287522
117,3726.9987100677904
118,2849.532209749663
119,3726.9987100677904
120,3549.998710067789
121,3667.1450818126636
122,3501.0501206219747
123,3690.5030527327094
124,3690.541928851143
125,3690.503052732707
126,2815.073047689086
127,3551.075075601903
128,3605.35671385925
129,3338.329377726763
130,3040.4630438973923
131,3299.569482963499
132,2893.2666636952026
133,2442.0498491953576
134,3406.5326220265288
135,3319.364069880658
136,3501.0501206219737
137,3667.145081812658
138,3129.102344431809
139,3393.8082692493786
140,3799.6913800296484
141,3287.4190438973924
142,3690.5030527327126
143,3726.9987100675567
144,3411.022047688853
145,3690.4736337704653
146,3411.022047688853
147,3411.0220476888535
148,3532.66404389739
149,3737.6913800296484
150,2762.611133519465
151,3040.4630438973923
152,3338.329377726995
153,3411.022047688854
154,3113.1557138592507
155,3338.3293777269955
156,3129.102344431356
157,3726.998710067785
158,3532.6640438973923
159,3799.6913800296425
160,3338.3293777269955
161,3338.329377726995
162,3393.8082692493795
163,3309.8066323076873
164,2833.2180438973924
165,3726.9987100677895
166,2725.166599287522
167,2718.4094844128645
168,3309.806632307688
169,3726.9987100677895
170,3393.8082692493786
171,3094.6388965169585
172,3113.1557138592484
173,3411.0220476890886
174,3178.43626924938
175,3309.8066323076882
176,3543.5923444318223
177,3357.0533019557047
178,3726.9987100675567
179,3667.145081812663
180,3799.691380029649
181,2815.0730476888493
182,3131.04971006779
183,3299.5694829551094
184,2690.538713859251
185,2905.91071385925
186,3501.050120621974
187,3203.7423800296456
188,3726.9987100677895
189,3726.998710067556
190,3726.9987100677895
191,3411.022047688853
192,3411.022047688854
193,3532.6640438973923
194,3799.691380029643
195,3261.5694829634976
196,3799.6913800296484
197,3690.590875554175
198,3628.503052732706
199,3690.5030527327053
200,3317.049859761821
201,3667.145081812663
202,3726.998710067784
203,3799.6913800296484
204,3667.1450818126627
205,3726.9987100677895
206,3799.6913800296484
207,3411.022047688854
208,3726.9987100677836
209,3726.998710067785
210,2934.2508491971603
211,3543.592344431819
212,3321.1155992875215
213,3110.0470438973866
214,3356.953301955445
215,3501.0501206219747
216,3726.998710067784
217,3338.329377726995
218,3799.6913800296484
219,3667.1450818126636
220,3309.824774505348
221,3349.022047689089
222,3357.0533019554523
223,3267.8943020182874
224,3393.7082692493805
225,3726.9987100677836
226,3338.329377726995
227,2905.8107138594855
228,3799.6913800296484
229,3338.329377726995
230,3690.503052732708
231,3300.329377726995
232,3411.022047688854
233,3664.9987100677895
234,3411.022047688854
235,3543.492344432101
236,3605.356713859251
237,3726.9987100677895
238,3357.0533019554464
239,2761.1043019554463
240,3317.049859762052
241,3393.808269249381
242,3799.6913800296484
243,3532.564043897387
244,3398.11171385925
245,3667.145081812663
246,3726.9987100677868
247,3726.9987100677845
248,3357.0533019554455
249,2952.1023444320945
250,2905.9107138592503
251,3690.5592335047195
252,3726.9987100677895
253,3279.219770204317
254,3406.5326220265288
255,2824.848859762055
256,3532.664043897387
257,3667.145081812663
258,3799.6913800296484
259,3048.6653549978328
260,3309.8066323076882
261,3667.145081812659
262,2833.2180438973924
263,3321.115599287521
264,3411.022047689083
265,3605.356713859252
266,3726.9987100675567
267,3667.145081812664
268,3366.592344432097
269,3357.0533019554446
270,3726.898710067789
271,3667.145081809634
272,3799.6913800298807
273,3726.998710067784
274,3690.5030527327044
275,3543.592344431821
276,3131.04971006779
277,3406.5326220265238
278,3040.4630438973923
279,3094.6102856367556
280,3688.998710067784
281,3398.1117138592513
282,3605.3567138592493
283,3113.155713859245
284,3398.1117138592485
285,3667.145081812663
286,3393.8082692493804
287,3799.591380029649
288,3357.053301955446
289,3267.894302018281
290,3338.329377726995
291,3726.9987100677895
292,3132.5127214945437
293,3726.9987100677895
294,3241.287839253786
295,3319.364069880645
296,3331.80826924938
297,3532.6640438973923
298,3338.3293777269905
299,3690.559368984432
300,3799.6913800296425
301,3410.9220476888527
302,2833.2180438973896
303,3761.691380029647
304,3113.1557138592498
305,3551.0169844364423
306,3411.022047688621
307,3799.6913800296484
308,3338.329377726995
309,3690.503052732702
310,3357.0533019554446
311,3338.3293777269896
312,3336.011713859238
313,3299.569482963496
314,3532.6640438973923
315,3799.6913800296447
316,3338.329377726995
317,3299.5694829634963
318,2833.218043897387
319,3667.14508181266
320,3475.1310527327096
321,3393.8082692493795
322,3667.1450818126623
323,3726.99871006779
324,3739.6539772448364
325,3690.5030527327117
326,3799.691380029643
327,3338.329377726996
328,3040.4630438973923
329,3398.1117138592435
330,3131.0497100677894
331,3799.691380029648
332,3799.691380029643
333,3726.99871006779
334,2815.073047688854
335,2617.603859762055
336,3393.80826924938
337,3338.3293777269955
338,3726.9987100677895
339,3551.0992504143123
340,3629.1450818126627
341,2713.411774936861
342,3248.0846661703968
343,3690.599479867002
344,3799.691380029643
345,3406.53262202653
346,3411.0220476888526
347,3543.592344432105
348,3690.5030527327103
349,3109.8048597615207
350,3543.5923444321033
351,3690.5592856367493
352,3309.8066323076873
353,3690.5030527327062
354,3799.6913800296484
355,3411.0220476888517
356,3338.3293777269896
357,3799.6913800296484
358,3393.8082692493795
359,2936.7150438973927
360,3411.022047688854
361,3605.356713859251
362,3129.102344431862
363,3309.8066323076873
364,3799.591380029647
365,3338.329377726995
366,3726.9987100677895
367,3667.145081812663
368,3398.1117138592504
369,3799.6913800296484
370,3338.3293777269923
371,3393.8082692493786
372,3690.503052732714
373,3406.5326220262086
374,3629.1450818126646
375,3690.5030527327044
376,3584.319380029649
377,3726.9987100677895
378,3690.5030527327062
379,3319.364069880663
380,3113.155713859251
381,3799.6913800296475
382,3726.9987100677895
383,3357.0533019554446
384,3375.1951435097803
385,3761.691380029649
386,3040.4630438973923
387,2724.239133519502
388,2943.9612805227507
389,3040.463043897386
390,3669.3469343659513
391,3026.532209750181
392,3113.1557138590183
393,3726.9987100677895
394,2943.9612805227507
395,3690.5301183279626
396,3393.8082692493776
397,3046.0256442113114
398,3551.0169844364677
399,3726.99871006779
400,3411.0220476888544
401,3203.7423800296483
402,3667.145081812663
403,3411.022047688621
404,3321.1155992875215
405,3726.9987100677895
406,3393.8082692493795
407,3726.9987100677854
408,3393.8082692493776
409,3690.5030527327053
410,3338.3293777269946
411,3543.5923444321033
412,3799.6913800296475
413,3398.1117138592513
414,3551.127308908991
415,3319.364069880915
416,3667.1450818126623
417,3338.329377726995
418,2939.7210223586303
419,3113.1557138592507
420,3799.6913800294155
421,3299.5694829634967
422,3690.5326528770256
423,2824.8488597620512
424,2905.910713859251
425,3357.0533019557083
426,2797.8592692493803
427,3129.102344431355
428,3726.998710067791
429,3551.034979376877
430,3299.5694829634967
431,3321.115599287521
432,3584.319380029648
433,3398.1117138594864
434,3355.8082692493786
435,3279.219770204324
436,3309.8066323076896
437,3129.1023444320936
438,3398.1117138594864
439,3338.3293777269946
440,3726.9987100677895
441,3325.419043897392
442,3664.8987100677764
443,3532.6640438973923
444,2833.218043897386
445,3726.998710067784
446,3543.592344432097
447,3690.5813734565622
448,3667.145081812663
449,3321.1155992875215
450,3309.806632307689
451,3726.99871006779
452,3040.4630438971594
453,3357.0533019554446
454,3726.998710067791
455,3393.8082692493804
456,3532.664043897387
457,3113.1557138592475
458,3338.229377726995
459,3799.6913800298785
460,3129.1023444320936
461,3726.9987100677895
462,3411.022047688851
463,3131.0497100677903
464,3799.6913800294155
465,3373.022047688853
466,3406.5326220265233
467,3338.3293777269955
468,3411.0220476888517
469,3799.6913800296484
470,3726.998710067784
471,3338.329377726995
472,3799.6913800296493
473,3551.0169844364436
474,3241.2878392537887
475,3667.1450818126627
476,3726.9987100675567
477,3140.0498597620553
478,3667.1450818126636
479,3393.8082692493804
480,3799.6913800296475
481,3109.804859762055
482,3299.6871760504714
483,3393.8082692493804
484,3338.3293777267622
485,3040.4630438973923
486,2797.8592692493776
487,3726.9987100677868
488,2663.1528426401524
489,3532.66404389716
490,3667.1450818126627
491,2824.848859762055
492,3203.7423800296483
493,3516.1793800296477
494,3393.8082692493804
495,2898.9953338296027
496,3357.053301955445
497,3532.6640438973923
498,3543.592344431821
499,3131.049710067789
500,3129.102344431355
501,3398.111713859246
502,3551.0169844364364
503,3322.2716567169014
504,3726.9987100677895
505,3726.9987100677895
506,3373.022047688854
507,3690.5030527327012
508,3761.6913800298785
509,3667.1450818126605
510,3726.9987100675567
511,2905.9107138592485
512,3411.022047688851
513,3726.9987100677913
514,3543.5923444321047
515,2701.9709690231575
516,3357.0533019554437
517,3667.145081812658
518,2797.8592692493803
519,2348.0122805227547
520,3113.155713859251
521,3799.6913800296484
522,3551.016984436462
523,2833.2180438973924
524,3309.8066323076882
525,3667.1450818126627
526,2943.961280522751
527,3393.8082692493795
528,3357.0533019554455
529,3664.99871006779
530,3411.022047688853
531,3799.6913800296484
532,3505.5923444318214
533,3319.3640698806685
534,3543.5923444321047
535,2905.9107138592453
536,3131.04971006779
537,3690.503052732705
538,3688.998710067784
539,2718.4094844126666
540,3338.3293777269955
541,3605.3567138592502
542,3241.287839253786
543,3726.9987100677895
544,3690.503052732706
545,3667.145081812662
546,3267.8943020182824
547,2713.8576323076854
548,3799.6913800296466
549,3799.6913800296484
550,3317.049859761755
551,3726.9987100677895
552,3726.9987100677895
553,3411.022047688621
554,3428.3567138590174
555,3799.6913800296484
556,3667.1450818126577
557,2833.2180438973924
558,3584.3193800296476
559,3398.111713859251
560,3690.503052732705
561,3690.503052732711
562,3093.0497100677912
563,2905.9107138592512
564,3054.817377726995
565,3299.6083689766456
566,3605.3567138592507
567,2943.9612805227507
568,3726.998710067784
569,3051.155713859251
570,3321.115599287516
571,3279.2197702043236
572,3451.773081812662
573,3406.5326220265288
574,3726.898710067789
575,3470.6640438973923
576,3726.998710067784
577,3667.145081812657
578,3203.7423800296483
579,3688.9987100677845
580,2729.4700438973955
581,3325.4190438973924
582,3338.3293777269896
583,3161.329377726991
584,3799.691380029647
585,3321.115599287521
586,3667.1450818126627
587,3690.61725313016
588,3690.503052732707
589,3667.1450818126577
590,3411.022047688854
591,3605.356713859251
592,3406.532622026527
593,3690.5585751942226
594,2729.4700438973937
595,3295.053301955445
596,3799.6913800294155
597,3761.691380029642
598,3688.9987100677895
599,3726.99871006779
600,3690.5030527327103
601,3690.6020182274906
602,3319.364069880664
603,3393.80826924938
604,3182.73971385925
605,3309.806632307683
606,3309.8066323076837
607,3690.5475887246057
608,3203.742380029647
609,3543.592344431588
610,3690.6587640685384
611,2939.611133519473
612,3203.6423800296484
613,3799.6913800296484
614,3690.503052732705
615,3071.196081812664
616,3317.04985976205
617,3398.1117138592504
618,3040.463043897388
619,3667.145081812656
620,3129.102344432091
621,3299.569482963495
622,2361.0359211906684
623,2309.961713859251
624,3411.022047688854
625,3799.6913800296484
626,3532.6640438973923
627,3279.2197702043186
628,3481.592344431821
629,2939.611133519244
630,3690.6218833663816
631,3799.6913800296484
632,3325.4190438973924
633,3203.7423800296483
634,3051.15571385925
635,3040.4630438973923
636,3690.5583454674425
637,2943.9612805227507
638,3398.1117138592485
639,3411.022047688853
640,3203.742380029649
641,3551.0988099041615
642,3279.2197702043245
643,3338.329377726995
644,2939.611133519474
645,3690.55754525511
646,3799.6913800296484
647,3322.5686678370307
648,3551.05474313257
649,3667.1450818126573
650,3622.6913800296475
651,3551.016984436455
652,3667.145081812663
653,3799.691380029646
654,3726.99871006779
655,3726.9987100660687
656,3338.3293777269923
657,2348.0122805228516
658,3299.5694829634967
659,3690.5030527326944
660,3690.503052732701
661,3799.6913800296484
662,3667.1450818126577
663,3667.1450818126614
664,3309.8066323076855
665,3726.9987100675567
666,3543.5923444321047
667,3667.1450818126636
668,3667.1450818124295
669,3543.5923444320965
670,3667.145081812664
671,3532.6640438971604
672,3338.329377726996
673,3406.5326220262064
674,3690.5583886367135
675,3690.5030527327035
676,3532.664043897387
677,3799.691380029649
678,3338.3293777267622
679,3690.5030527327053
680,3338.3293777269923
681,3726.9987100677895
682,3406.5326220262086
683,3357.0533019554523
684,3513.548746344046
685,3241.287839253792
686,3551.0169844364736
687,3726.9987100677895
688,3532.6640438973895
689,3470.66404389739
690,3131.049710067785
691,3690.62188336619
692,3726.9987100675567
693,3667.145081809869
694,2833.2180438973924
695,3338.329377726991
696,3180.053301955446
697,3690.5030527324734
698,3690.5030527327203
699,3299.569482963498
700,3726.9987100677895
701,3113.15571385925
702,3122.957377726995
703,3040.4630438973923
704,3543.5923444321047
705,3338.3293777186086
706,3325.419043897387
707,3398.1117138592435
708,3726.8987100675595
709,3690.5030527327067
710,2718.4094844095634
711,2905.9107138594863
712,3357.0533019554573
713,3667.145081812428
714,3605.356713859251
715,3726.99871006779
716,3393.8082692493795
717,3408.603746788498
718,3726.8987100677896
719,3319.40155489636
720,3667.145081812432
721,3321.115599287519
722,3113.155713859251
723,2309.961713859251
724,3726.99871006779
725,3667.145081812662
726,3690.6035533593536
727,3321.1155992875215
728,3317.049859761754
729,3690.5698351393967
730,3393.8082692493804
731,3726.998710067791
732,3406.532622026529
733,3690.5214649827776
734,3357.0533019554455
735,3406.5326220262964
736,3667.1450818126623
737,3726.9987100677895
738,3501.0501206219747
739,3690.503052732904
740,3543.3567138592507
741,3690.5593689844354
742,3411.022047688852
743,3203.7423800296447
744,3628.5611320557955
745,3667.1450818126627
746,3048.6653549978337
747,3726.998710067786
748,3628.5030527327217
749,3667.145081812665
